# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.255381 0.0966477 5.52479e-05 2.08941e-05
6 2.75 0 0 0 0 1.7235 0.973031 0 0 0 0 0 0 0 0 0 0 1.08762 0.71069 0.268667 0.151704
7 3.25 0 0 0 0 5.70946 5.4717 0 0 0 0 0.512089 0.134496 0.0215575 0.00566132 0 0 0.952027 1.46083 1.44537 1.29054
8 3.75 0 0 0.0152304 0.015964 0.448695 5.94214 0 0 0 0 2.59915 1.0429 1.48089 0.523228 0 0 1.74225 3.28758 1.69658 3.06941
9 4.25 0 0 3.01759 4.07759 0.0417272 5.9983 0.101098 0.0453717 0.013197 0.00592274 1.71143 1.81094 3.34826 2.02582 0.00971316 0.00436006 1.46628 5.26161 1.58251 5.19994
10 4.75 0 0 2.25769 7.87253 0.00100902 6 2.66682 1.54 1.73261 0.976945 1.73183 2.78152 2.38672 3.36344 0.19504 0.113668 0.950796 6.8602 1.39094 7.53855
11 5.25 0 0 0.140248 8.16045 0 6 3.47332 3.91753 4.43271 4.01126 1.4105 3.74704 0.798473 3.91001 0.789506 0.654098 0.979821 8.87234 1.12379 9.84634
12 5.75 0.710764 0.583102 0.413679 9.17909 0.000890323 6.00219 2.46122 5.93822 3.3502 6.76182 0.296125 3.99016 0.106666 3.99757 1.42191 1.8215 0.971918 11.2662 0.721072 11.6224
13 6.25 4.08837 4.5456 0.955548 11.9589 0.222928 6.6508 1.89135 7.77267 1.23674 7.96132 0.0501429 4.03879 0.00394715 4.0014 1.57267 3.34686 1.0291 14.2606 0.581358 13.3139
14 6.75 1.03078 5.71082 0.569023 13.8894 2.80241 16.1613 0.19984 7.99872 0.0341974 8 0.657628 4.78272 0.222183 4.25274 1.23 4.73827 0.9276 17.4086 0.983021 16.65
15 7.25 0.209847 5.98441 1.02958 17.919 2.79843 27.1168 0.000978132 8 0 8 1.57225 6.83442 1.56773 6.29854 0.73385 5.69589 0.840327 20.6983 1.04566 20.7436
