# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
12 5.75 0.803011 0.654061 0.379092 9.23679 0.00244768 6.00598 2.17313 5.95476 2.79702 6.48597 0.350084 3.97564 0.186208 3.99365 1.46333 1.78907 0.896384 11.0717 0.735804 11.4648
13 6.25 3.62515 4.14276 0.802308 11.5542 0.387421 7.12521 1.67582 7.56864 1.42841 7.86154 0.0604143 4.03381 0.0122541 4.00545 1.63919 3.36764 1.00593 13.9779 0.622482 13.2632
14 6.75 1.52087 5.8497 0.784359 14.1965 2.45616 15.4015 0.375286 7.99011 0.122727 7.99936 0.521503 4.61958 0.235061 4.26947 1.17642 4.68898 0.938342 17.1397 0.995025 16.616
15 7.25 0.115525 5.99922 1.09132 18.4374 2.80498 26.3046 0.00763529 8 0.000494703 8 1.71054 6.83587 1.56238 6.29382 0.694023 5.5882 0.931189 20.7592 1.03645 20.6447
16 7.75 0.000879691 6.00052 1.28166 24.1285 0.76835 29.717 0 8 0 8 1.43354 8.95816 2.05141 9.33084 0.83073 6.81808 0.964328 25.0421 0.986468 25.026
17 8.25 0.243891 6.40935 1.13761 29.8523 0.0773748 30.1063 7.26362e-05 8.00012 0 8 1.02787 10.6825 1.14397 11.25 1.27081 8.94995 0.957941 29.8633 1.05321 30.3265
18 8.75 3.51362 13.035 1.25111 36.9332 0.521641 33.0593 0.0202944 8.03841 0.000763392 8.00144 0.780923 12.1562 0.474995 12.1463 1.60964 11.9874 1.06914 35.9158 1.08357 36.4608
19 9.25 1.88294 17.0028 0.975711 43.1044 1.6885 43.7416 0.356033 8.78922 0.101844 8.21621 0.73291 13.7017 0.603555 13.419 1.41276 14.9667 1.01948 42.3654 0.913237 42.2382
20 9.75 0.404574 17.9499 0.886512 49.334 1.74738 56.0235 1.73217 12.8475 1.39791 11.4913 0.916528 15.849 1.01179 15.7896 1.02349 17.3646 0.749368 47.6324 0.724486 47.3303
8000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
